番號,上班地點,上班時間,下班時間,下班地點,工時,備註
X15101,HUH,06:38 ,13:08 ,HUH,06:00,EMU
X15102,HUH,05:16 ,11:46 ,HUH,06:00,MK1S Run3 PU
X15103,HTD,05:05 ,11:35 ,HUH,06:00,HTD26
X15104,HUH,13:16 ,21:16 ,HTD,07:30,HTD PD
X15105,HUH,11:00 ,19:45 ,HUH,08:15,KB/M
X15106,,,,,,Cover
X15107,HUH,05:23 ,13:23 ,HUH,07:30,EMU
X15108,HUH,08:21 ,14:51 ,HUH,06:00,EMU
X15109,HUH,18:42 ,01:42 ,HUH,06:30,FTP1 PD
X15110,HUH,18:59 ,01:44 ,HUH,06:15,STP3 PD
X15111,HUH,13:57 ,22:42 ,HUH,08:15,EMU
X15112,HUH,05:18 ,13:03 ,HUH,07:15,EMU
X15113,SHT,04:05 ,11:35 ,HUH,07:00,RCP1 Run12 PU
X15114,HUH,12:55 ,20:25 ,HTD,07:00,HTD PD
X15115,HUH,14:13 ,22:13 ,HUH,07:30,EMU
X15116,HUH,12:02 ,20:32 ,HUH,08:00,EMU
X15117,HUH,08:34 ,17:19 ,HUH,08:15,EMU
X15118,HUH,05:27 ,13:27 ,HUH,07:30,EMU
X15119,HUH,04:28 ,10:58 ,HTD,06:00,MKP3 Run5 PU
X15120,HUH,16:31 ,01:01 ,HUH,08:00,EMU
X15121,HTD,17:37 ,00:52 ,HTD,06:45,HTD30
X15122,HTD,17:11 ,00:56 ,HUH,07:15,HTD11/STP4 PD
X15123,HUH,07:12 ,14:57 ,HUH,07:15,EMU
X15124,HUH,07:00 ,14:45 ,HUH,07:15,EMU
X15125,HTD,05:17 ,11:47 ,HTD,06:00,HTD27
X15126,HUH,13:23 ,21:53 ,HUH,08:00,EMU
X15127,,,,,,Cover
X15128,HUH,07:06 ,14:51 ,HUH,07:15,EMU
X15129,SHT,04:05 ,10:35 ,HUH,06:00,STP4 Run9 PU
X15130,HTD,17:27 ,01:57 ,HUH,08:00,HTD24/MKP3 PD
X15131,HUH,17:15 ,01:30 ,HUH,07:45,KB/L
X15132,HUH,17:18 ,01:18 ,HUH,07:30,EMU
X15133,HUH,08:15 ,15:45 ,HUH,07:00,EMU
X15134,HTD,05:00 ,13:30 ,HTD,08:00,HB/E
X15135,HUH,04:50 ,11:20 ,HUH,06:00,HHP1 Run1 PU
X15136,HUH,14:05 ,22:35 ,HUH,08:00,MKP1 PD
X15137,HUH,17:05 ,01:05 ,HUH,07:30,EMU
X15138,HUH,15:16 ,22:31 ,HTD,06:45,EMU
X15139,HUH,08:12 ,16:12 ,HUH,07:30,EMU
X15140,HUH,04:28 ,12:28 ,HUH,07:30,KB/E
X15141,HUH,11:22 ,19:52 ,HUH,08:00,EMU
X15142,HUH,17:42 ,01:42 ,HUH,07:30,HHP1 PD
X15143,HTD,16:42 ,00:42 ,HUH,07:30,HTD08
X15144,,,,,,Cover
X15145,HUH,07:09 ,14:24 ,HUH,06:45,EMU
X15146,HUH,12:08 ,19:53 ,HUH,07:15,EMU
X15147,HUH,15:34 ,23:49 ,HUH,07:45,ST4S PD
X15148,HUH,14:46 ,21:16 ,HTD,06:00,EMU
X15149,HUH,04:50 ,11:20 ,HUH,06:00,HHP4 Run2 PU/RCP1 PD
X15150,HUH,04:28 ,10:58 ,HTD,06:00,MKP1 Run4 PU
X15151,HTD,05:49 ,13:19 ,HUH,07:00,HTD29
X15152,HUH,17:32 ,01:47 ,HUH,07:45,HHP4 PD
X15153,HUH,18:29 ,01:44 ,HUH,06:45,STP1 PD
X15154,,,,,,Cover
X15155,HUH,06:46 ,15:16 ,HUH,08:00,EMU
X15156,HTD,06:30 ,15:00 ,HUH,08:00,HTD31
X15157,HUH,13:09 ,21:54 ,HUH,08:15,MK1S PD
X15158,HUH,13:36 ,21:36 ,HUH,07:30,EMU
X15159,HTD,12:00 ,19:30 ,HTD,07:00,HB/M
X15301,HUH,08:00 ,14:30 ,HUH,06:00,P702/P705/P712
X15302,LOW,07:15 ,15:15 ,LOW,07:30,RS
X15303,HUH,22:10 ,06:10 ,HUH,07:30,ET12
